Ano,Nome da Grande Região,Sigla da Unidade da Federação,Código do Município,Nome do Município,"Produto Interno Bruto, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
2011,Norte,RO,1100015,Alta Floresta D'Oeste, 280 510 ," 11 577,91 "
2011,Norte,RO,1100023,Ariquemes, 1 651 885 ," 18 039,59 "
2011,Norte,RO,1100031,Cabixi, 77 217 ," 12 412,34 "
2011,Norte,RO,1100049,Cacoal, 1 259 024 ," 15 945,29 "
2011,Norte,RO,1100056,Cerejeiras, 260 142 ," 15 357,58 "
2011,Norte,RO,1100064,Colorado do Oeste, 206 425 ," 11 256,69 "
2011,Norte,RO,1100072,Corumbiara, 145 412 ," 16 800,93 "
2011,Norte,RO,1100080,Costa Marques, 120 018 ," 8 558,65 "
2011,Norte,RO,1100098,Espigão D'Oeste, 347 581 ," 12 000,87 "
2011,Norte,RO,1100106,Guajará-Mirim, 715 386 ," 17 059,81 "
2011,Norte,RO,1100114,Jaru, 861 623 ," 16 607,03 "
2011,Norte,RO,1100122,Ji-Paraná, 2 056 220 ," 17 520,18 "
2011,Norte,RO,1100130,Machadinho D'Oeste, 301 792 ," 9 496,30 "
2011,Norte,RO,1100148,Nova Brasilândia D'Oeste, 188 992 ," 9 505,21 "
2011,Norte,RO,1100155,Ouro Preto do Oeste, 507 790 ," 13 468,51 "
2011,Norte,RO,1100189,Pimenta Bueno, 602 732 ," 17 737,33 "
2011,Norte,RO,1100205,Porto Velho, 11 139 255 ," 25 564,46 "
2011,Norte,RO,1100254,Presidente Médici, 250 510 ," 11 382,16 "
2011,Norte,RO,1100262,Rio Crespo, 48 230 ," 14 414,16 "
2011,Norte,RO,1100288,Rolim de Moura, 756 305 ," 14 858,94 "
2011,Norte,RO,1100296,Santa Luzia D'Oeste, 109 366 ," 12 602,70 "
2011,Norte,RO,1100304,Vilhena, 1 491 477 ," 19 136,96 "
2011,Norte,RO,1100320,São Miguel do Guaporé, 311 271 ," 14 226,93 "
2011,Norte,RO,1100338,Nova Mamoré, 249 369 ," 10 775,16 "
2011,Norte,RO,1100346,Alvorada D'Oeste, 174 574 ," 10 500,71 "
2011,Norte,RO,1100379,Alto Alegre dos Parecis, 135 691 ," 10 580,21 "
2011,Norte,RO,1100403,Alto Paraíso, 176 664 ," 10 127,49 "
2011,Norte,RO,1100452,Buritis, 380 852 ," 11 576,39 "
2011,Norte,RO,1100502,Novo Horizonte do Oeste, 100 846 ," 10 000,58 "
2011,Norte,RO,1100601,Cacaulândia, 84 262 ," 14 618,72 "
