codigo_municipio,nome_municipio,sigla_uf,regiao,area_km2
110001,Alta Floresta D'Oeste,RO,Norte,7067.127
110002,Ariquemes,RO,Norte,4426.127
110003,Cabixi,RO,Norte,1314.352
110004,Cacoal,RO,Norte,3792.998
110005,Cerejeiras,RO,Norte,2783.297
110006,Colorado do Oeste,RO,Norte,1451.062
110007,Corumbiara,RO,Norte,3060.321
110008,Costa Marques,RO,Norte,4987.159
110009,Espigão D'Oeste,RO,Norte,4518.039
110010,Guajará-Mirim,RO,Norte,24856.877
110011,Jaru,RO,Norte,2944.126
110012,Ji-Paraná,RO,Norte,6896.649
110013,Machadinho D'Oeste,RO,Norte,8509.166
110014,Nova Brasilândia D'Oeste,RO,Norte,1703.008
110015,Ouro Preto do Oeste,RO,Norte,1969.878
110018,Pimenta Bueno,RO,Norte,6241.017
110020,Porto Velho,RO,Norte,34090.463
110025,Presidente Médici,RO,Norte,1758.464
110026,Rio Crespo,RO,Norte,1717.64
110028,Rolim de Moura,RO,Norte,1457.811
110029,Santa Luzia D'Oeste,RO,Norte,1197.796
110030,Vilhena,RO,Norte,11708.569
110032,São Miguel do Guaporé,RO,Norte,6789.605
110033,Nova Mamoré,RO,Norte,10070.515
110034,Alvorada D'Oeste,RO,Norte,3029.193
110037,Alto Alegre dos Parecis,RO,Norte,3958.273
110040,Alto Paraíso,RO,Norte,2652.03
110045,Buritis,RO,Norte,3265.811
110050,Novo Horizonte do Oeste,RO,Norte,843.446
110060,Cacaulândia,RO,Norte,1962.032
110070,Campo Novo de Rondônia,RO,Norte,3442.005
110080,Candeias do Jamari,RO,Norte,6843.666
110090,Castanheiras,RO,Norte,892.841
110092,Chupinguaia,RO,Norte,5117.301
110094,Cujubim,RO,Norte,3863.948
110100,Governador Jorge Teixeira,RO,Norte,5067.386
110110,Itapuã do Oeste,RO,Norte,4081.555
110120,Ministro Andreazza,RO,Norte,798.083
110130,Mirante da Serra,RO,Norte,1191.875
110140,Monte Negro,RO,Norte,1931.404
110143,Nova União,RO,Norte,807.17
110145,Parecis,RO,Norte,2548.683
110146,Pimenteiras do Oeste,RO,Norte,6014.733
110147,Primavera de Rondônia,RO,Norte,605.692
110148,São Felipe D'Oeste,RO,Norte,541.648
110149,São Francisco do Guaporé,RO,Norte,10948.637
110150,Seringueiras,RO,Norte,4443.991
110155,Teixeirópolis,RO,Norte,459.933
110160,Theobroma,RO,Norte,2197.412
110170,Urupá,RO,Norte,831.855
110175,Vale do Anari,RO,Norte,3135.107
110180,Vale do Paraíso,RO,Norte,965.661
120001,Acrelândia,AC,Norte,1811.612
120005,Assis Brasil,AC,Norte,4968.527
120010,Brasiléia,AC,Norte,3928.821
120013,Bujari,AC,Norte,3035.547
120017,Capixaba,AC,Norte,1705.236
120020,Cruzeiro do Sul,AC,Norte,8793.341
120025,Epitaciolândia,AC,Norte,1652.715
120030,Feijó,AC,Norte,27946.684
120032,Jordão,AC,Norte,5346.443
120033,Mâncio Lima,AC,Norte,5414.073
120034,Manoel Urbano,AC,Norte,10615.134
120035,Marechal Thaumaturgo,AC,Norte,8185.635
120038,Plácido de Castro,AC,Norte,1952.531
120039,Porto Walter,AC,Norte,6452.756
120040,Rio Branco,AC,Norte,8834.832
120042,Rodrigues Alves,AC,Norte,3082.396
120043,Santa Rosa do Purus,AC,Norte,6144.95
120045,Senador Guiomard,AC,Norte,2320.956
120050,Sena Madureira,AC,Norte,23748.843
120060,Tarauacá,AC,Norte,20169.487
120070,Xapuri,AC,Norte,5350.3
120080,Porto Acre,AC,Norte,2603.942
130002,Alvarães,AM,Norte,5964.611
130006,Amaturá,AM,Norte,4658.391
130008,Anamã,AM,Norte,2382.521
130010,Anori,AM,Norte,6084.881
130014,Apuí,AM,Norte,53617.189
130020,Atalaia do Norte,AM,Norte,76313.455
130030,Autazes,AM,Norte,7564.727
130040,Barcelos,AM,Norte,122453.454
130050,Barreirinha,AM,Norte,5658.561
130060,Benjamin Constant,AM,Norte,9100.432
130063,Beruri,AM,Norte,17415.813
130068,Boa Vista do Ramos,AM,Norte,2613.997
130070,Boca do Acre,AM,Norte,21949.686
130080,Borba,AM,Norte,44644.015
130083,Caapiranga,AM,Norte,9743.918
130090,Canutama,AM,Norte,33671.791
130100,Carauari,AM,Norte,25771.943
130110,Careiro,AM,Norte,6100.302
130115,Careiro da Várzea,AM,Norte,2655.729
130120,Coari,AM,Norte,57894.132
130130,Codajás,AM,Norte,19038.052
130140,Eirunepé,AM,Norte,15189.428
130150,Envira,AM,Norte,7419.658
130160,Fonte Boa,AM,Norte,12163.987
130165,Guajará,AM,Norte,7427.071
130170,Humaitá,AM,Norte,33113.788
130180,Ipixuna,AM,Norte,12437.643
130185,Iranduba,AM,Norte,2331.676
130190,Itacoatiara,AM,Norte,8882.186
130195,Itamarati,AM,Norte,25509.236
130200,Itapiranga,AM,Norte,4287.62
130210,Japurá,AM,Norte,55964.231
130220,Juruá,AM,Norte,19300.464
130230,Jutaí,AM,Norte,68971.126
130240,Lábrea,AM,Norte,68349.909
130250,Manacapuru,AM,Norte,7318.909
130255,Manaquiri,AM,Norte,4016.877
130260,Manaus,AM,Norte,11278.893
130270,Manicoré,AM,Norte,48429.767
130280,Maraã,AM,Norte,16805.602
130290,Maués,AM,Norte,39973.673
130300,Nhamundá,AM,Norte,14077.252
130310,Nova Olinda do Norte,AM,Norte,5573.414
130320,Novo Airão,AM,Norte,37755.384
130330,Novo Aripuanã,AM,Norte,41382.864
130340,Parintins,AM,Norte,6044.053
130350,Pauini,AM,Norte,41637.294
130353,Presidente Figueiredo,AM,Norte,25027.907
130356,Rio Preto da Eva,AM,Norte,5812.425
130360,Santa Isabel do Rio Negro,AM,Norte,62470.219
130370,Santo Antônio do Içá,AM,Norte,12482.067
130380,São Gabriel da Cachoeira,AM,Norte,108700.19
130390,São Paulo de Olivença,AM,Norte,19615.643
130395,São Sebastião do Uatumã,AM,Norte,10712.222
130400,Silves,AM,Norte,3723.18
130406,Tabatinga,AM,Norte,3279.046
130410,Tapauá,AM,Norte,84697.765
130420,Tefé,AM,Norte,23835.224
130423,Tonantins,AM,Norte,6336.62
130426,Uarini,AM,Norte,10323.306
130430,Urucará,AM,Norte,27851.365
130440,Urucurituba,AM,Norte,2897.547
140002,Amajari,RR,Norte,28370.592
140005,Alto Alegre,RR,Norte,25424.287
140010,Boa Vista,RR,Norte,5687.037
140015,Bonfim,RR,Norte,8079.84
140017,Cantá,RR,Norte,7664.831
140020,Caracaraí,RR,Norte,47385.318
140023,Caroebe,RR,Norte,12064.399
140028,Iracema,RR,Norte,14018.766
140030,Mucajaí,RR,Norte,12337.85
140040,Normandia,RR,Norte,6959.982
140045,Pacaraima,RR,Norte,8019.088
140047,Rorainópolis,RR,Norte,33579.445
140050,São João da Baliza,RR,Norte,4284.503
140060,São Luiz do Anauá,RR,Norte,1526.9
140070,Uiramutã,RR,Norte,8102.219
150010,Abaetetuba,PA,Norte,1610.645
